id,ec773differernce
ACt2rpp,1.1368683772161603e-13
MG2t3_2pp,0.0
CUtex,0.0
TKT1,0.0
DCMPtex,0.0
DAMPtex,0.0
DALAtex,0.0
DADNtex,0.0
CYTDt2rpp,0.0
CYTDt2pp,1000.0
CYANtex,0.0
CRNt8pp,1000.0
PPKr,0.0
26DAHtex,0.0
3AMPtex,0.0
3CMPtex,0.0
CRNt2rpp,0.0
3GMPtex,0.0
CRNDt2rpp,0.0
CITtex,0.0
3UMPtex,0.0
DCYTtex,0.0
DGMPtex,0.0
ACOAD1f,0.0
DGSNtex,0.0
ACOAD2f,0.0
ACOAD3f,0.0
ACOAD4f,0.0
ACOAD5f,0.0
ACOAD6f,0.0
ACOAD7f,0.0
ACOAD8f,0.0
DUMPtex,0.0
DTMPtex,0.0
DMStex,0.0
ADK3,0.0
ADK4,0.0
DHPTPE,0.0
DMSOtex,0.0
D_LACt2pp,0.0
EX_na1_e,0.0
DINStex,0.0
DIMPtex,0.0
DHAtpp,0.0
ABUTtex,0.0
ACALDtpp,0.0
CGLYtex,0.0
BCCPE,0.0
DURItex,0.0
CTBTt2rpp,-1.1368683772161603e-13
ADNt2rpp,0.0
BALAtex,0.0
ASNt2rpp,0.0
ACGAM1Ptex,0.0
ACGAtex,0.0
ACMANAtex,0.0
ACSERtex,0.0
ADEt2rpp,0.0
AKGt2rpp,0.0
ALAALAtex,0.0
ALAtex,0.0
AMPtex,0.0
ARGORNt7pp,0.0
H2Stex,0.0
ACACT1r,0.0
ETOHtrpp,0.0
PYRt2rpp,0.0
THMDt2pp,1000.0
THMDt2rpp,0.0
TRPt2rpp,0.0
TYRt2rpp,0.0
URAt2pp,1000.0
URAt2rpp,0.0
URIt2pp,1000.0
URIt2rpp,0.0
VALt2rpp,0.0
GSNtex,0.0
XANtpp,0.0
XTSNt2rpp,0.0
GMPtex,0.0
GLYtex,0.0
GLYCtpp,0.0
GLYCAt2rpp,0.0
GLYALDtpp,0.0
ACHMSC,0.0
AMANAPEr,0.0
GTHRDtex,0.0
PTRCORNt7pp,0.0
MI2DHT,0.0
PSERtex,0.0
HISt2rpp,0.0
H2St1pp,1000.0
HOMtex,0.0
HYXNtpp,0.0
ILEt2rpp,0.0
INDOLEt2pp,1000.0
INDOLEt2rpp,0.0
INSt2pp,1000.0
INSt2rpp,0.0
LEUt2rpp,0.0
L_LACt2rpp,0.0
LYSt2pp,0.0
METt2rpp,0.0
NAtex,0.0
NO3tex,0.0
NOtex,0.0
O2Stex,0.0
PHEt2rpp,0.0
GUAtpp,0.0
GLUtex,0.0
CBMKr,0.0
DHACOAH,0.0
GLCATr,0.0
FUMtex,0.0
FRUURt2rpp,0.0
FRUtex,0.0
FE3tex,0.0
F6Ptex,0.0
IPDDI,0.0
TRATF,0.0
NAMNPP,0.0
ACBCP,0.0
ETHAtex,0.0
CAt6pp,0.0
NH4tpp,0.0
NO2t2rpp,0.0
PIt2rpp,0.0
D5GIS,0.0
G1Ptex,0.0
G3PEtex,0.0
G3PGtex,0.0
MCITD,0.0
GLUt4pp,1000.0
HPYRI,0.0
GLNt2rpp,0.0
MALTATr,0.0
GLCURt2rpp,0.0
MAN6PI,0.0
GLCUR1Ptex,0.0
GLCNt2rpp,0.0
G3PItex,0.0
GLUNATF,0.0
BAMPN,0.0
GAMtex,0.0
GAMAN6Ptex,0.0
GAL1Ptex,0.0
G6Ptex,0.0
G3PStex,0.0
ACOATA,0.0
MCOATA,0.0
RPE,1.0228568725783589
ALCD19,0.0
UAGAAT,0.0
PGM,0.0
H2tpp,0.0
GLYC3Ptex,-3.410605131648481e-13
EX_BIOTIN,0.0
EX_cobalt2_e,0.0
EX_ni2_e,0.0
EX_zn2_e,0.0
EX_mn2_e,0.0
EX_cu2_e,0.0
TDCM_FREE,0.0
