,minimum,maximum,773differernce,ec773differernce
ALAR,0.08190237603449628,2.6768241151634053,2.594921739128909,-2.1162804841878824e-10
ALATA_L,0.41945391775588026,3.153013730730745,2.733559812974865,0.11511067823990118
ASNN,0.0,29.841599999982513,29.841599999982513,12.29769827728989
ASNS1,0.0,14.969868714208994,14.969868714208994,1.8479449159927908
ASNS2,0.0,29.93973742841802,29.93973742841802,12.379181419988207
ASPT,0.0,47.72603742488827,47.72603742488827,20.579395805271748
ASPTA,0.0,0.0,0.0,-1.0646772352629341e-10
DAAD,0.0,0.0,0.0,0.0
VPAMT,0.0,1.4649314071786714,1.4649314071786714,2.3417116107618625
2METS,0.0,0.0,0.0,-1.3628209671878722e-11
ACHMSC,0.0,0.8810063546622938,0.8810063546622938,0.0
ACNML,0.0,0.0,0.0,0.0
ADNUC,0.0,14.92079999999303,14.92079999999303,2.8433655025947937
AGDC,0.0,0.0,0.0,0.0
ALCD19,0.0,0.0,0.0,0.0
ALDD19x,0.0,0.0,0.0,0.0
ALDD2x,0.0,29.841599999986016,29.841599999986016,2.7103149969168934
AMALT1,0.0,0.0,0.0,0.0
AMALT2,0.0,0.0,0.0,0.0
AMALT3,0.0,0.0,0.0,0.0
AMALT4,0.0,0.0,0.0,0.0
AMANAPEr,0.0,0.0,0.0,0.0
APG,0.01432757141702568,0.017909464271280408,0.0035818928542547274,0.0
ARAI,0.0,0.0,0.0,-1.0011262929765508e-09
BETALDHx,0.0,0.0,0.0,0.0
BETALDHy,0.0,0.0,0.0,0.0
CBMKr,0.0,1.3160764627156056,1.3160764627156056,0.0
DHACOAH,0.0,0.0,0.0,0.0
DHAPT,0.0,0.0,0.0,0.0
DHPTDNRN,0.0,0.0,0.0,0.0
DRPA,0.0,0.0,0.0,0.0
FFSD,0.0,0.0,0.0,0.0
FRUK,0.0,0.0,0.0,0.0
G3PD2,0.0,0.0,0.0,1.1368683772161603e-13
G3PT,0.0,29.841599999986023,29.841599999986023,13.002605128849272
G6PDA,0.0,29.841599999986023,29.841599999986023,4.977621748448553
GLCATr,0.0,0.0,0.0,0.0
GLCRD,0.0,0.0,0.0,0.0
GLYCDx,0.0,0.0,0.0,0.0
GLYK,0.0,29.84168797472991,29.84168797472991,13.002678173950258
GNK,0.0,0.0,0.0,0.0
GUI1,0.0,0.0,0.0,-6.672706831523101e-11
HCO3E,0.0,33.05147856209122,33.05147856209122,0.0
HEX7,0.0,0.0,0.0,0.0
HPYRI,0.0,0.0,0.0,0.0
HSST_2,0.0,0.8810063546622933,0.8810063546622933,0.785810376194604
HXCT,0.0,0.0,0.0,0.0
MALGT,0.0,0.0,0.0,-8.402878393098945e-11
MALTATr,0.0,0.0,0.0,0.0
MAN1PG,0.0,0.0,0.0,-1.5691625776526053e-10
MAN6PI,0.0,0.0,0.0,0.0
MCITL2,0.0,0.0,0.0,-4.209965709378594e-12
MM_COA_ADD5,0.0,0.0,0.0,-3.682387728076719e-12
MMM2,0.0,0.0,0.0,0.0
MSDH,0.0,0.0,0.0,0.0
PFK_2,0.0,0.0,0.0,0.0
PGLYCP,0.0,0.0,0.0,0.0
PGMT,0.0,0.0,0.0,-1.3361045603232924e-10
PMANM,0.0,0.0,0.0,-4.511946372076636e-12
PPASUCC,0.0,0.0,0.0,0.0
RBK,0.0,14.995006671490472,14.995006671490472,3.0215716198286193
SUCptsp,0.0,0.0,0.0,0.0
TRE6p,0.0,29.86367195137019,29.86367195137019,10.60013273368273
TRE6PP,0.007842621964752852,16.960530816366788,16.952688194402036,6.886932916858115
TRE6PS,0.007842621964752852,29.871514573334938,29.863671951370186,10.600132733682727
UACGAMPpp,0.0,29.841599999986027,29.841599999986027,5.555181595216288
UDPARA,0.30307740514721293,0.3788467564339807,0.07576935128676776,0.06291101123686871
UDPG4E,0.03245888627909407,1.1692817434214218,1.1368228571423278,0.0
UDPGALPpp,0.0,1.1368228571423276,1.1368228571423276,1.9085150849605759
UDPGPpp,0.0,29.84159999998604,29.84159999998604,10.444062405811284
UGLCURPpp,0.0,1.2974608695646137,1.2974608695646137,2.16337506268965
XYLI1,0.0,0.0,0.0,-9.979572723750607e-12
XYLI2,0.0,0.0,0.0,0.0
XYLK,0.0,0.0,0.0,0.0
GALKr,0.0,0.0,0.0,0.0
M1PD,0.0,0.0,0.0,0.0
MAN2D,0.0,0.0,0.0,0.0
MCITD,0.0,0.0,0.0,0.0
HDPA1,0.0,0.0,0.0,0.0
HDPA2,0.0,0.0,0.0,0.0
ICL,0.0,5.166095007540195,5.166095007540195,2.295291602985533
MALS,0.0,5.1660950075401955,5.1660950075401955,2.295291602985532
ME1,0.0,29.84159999998603,29.84159999998603,9.293072523713755
ME2,0.0,30.017100106643827,30.017100106643827,9.88957970987316
PPA,0.0,29.841599999986023,29.841599999986023,12.80366327995521
PPA2,0.0,14.920799999993038,14.920799999993038,6.290945031345133
PPC,0.0,33.90537638881821,33.90537638881821,0.04955656089544349
PPCK,0.0,29.841599999999012,29.841599999999012,9.982521709063311
ABTA,0.0,5.166095007541049,5.166095007541049,3.209416122639411
ACGK,0.0962336907387071,1.379743368158018,1.2835096774193109,0.8823662472341102
ACGS,0.0,29.841599999999005,29.841599999999005,2.160393474400139
ACODA,0.0,29.841599999999005,29.841599999999005,2.160393474400139
ACOTA,0.0,0.0,0.0,-0.21460281644058765
AGPR,0.0,0.0,0.0,0.0
AMPTASEPG,0.0,0.0,0.0,0.0
ARGSL,0.0962336907387074,1.2439875368925144,1.147753846153807,-5.933884494879749e-10
CBPS,0.0,14.920799999999497,14.920799999999497,0.8350923865550612
CSND,0.0,0.0,0.0,0.0
G5SADs,0.08074396144718929,23.463762160632317,23.383018199185127,3.2132311194206697
G5SD,0.08074396144718929,23.463762160632317,23.383018199185127,3.2132311194206697
GLU5K,0.08074396144718929,23.463762160632317,23.383018199185127,3.2132311194206697
GLUNATF,0.0,1.3797433681580185,1.3797433681580185,0.0
OCBT,0.0962336907387074,1.2439875368925142,1.1477538461538068,0.0
ORNC,0.0,0.0,0.0,0.0
P5CD,0.0,23.383018199185134,23.383018199185134,3.2132311194215024
P5CR,0.08074396144718929,1.3642536388665003,1.283509677419311,2.154775095923212
PROD2,0.0,0.0,0.0,0.0
SPMDAT1,0.0,0.0,0.0,0.0
SPMDAT2,0.0,0.0,0.0,0.0
SPMS,0.0,0.0,0.0,0.0
SSALy,0.0,5.166095007541053,5.166095007541053,3.2094161226529656
UREAAH,0.0,0.0,0.0,0.0
ARGSS,0.0962336907387074,1.243987536892513,1.1477538461538057,0.7433870953092842
CG_biomass_cgl_ATCC13032,0.4624164200258798,0.5780205250323444,0.11560410500646456,0.09598565944637244
BAMPN,0.0,0.0,0.0,0.0
BIOTIN_t,0.0,23.87328021976466,23.87328021976466,11.734932733958663
BTNAMP,0.0,0.0,0.0,0.0
3HAD100,0.21383217237734753,0.2672902154716823,0.05345804309433477,0.044386014829129544
3HAD120,0.09683379992744374,0.12104224990930353,0.02420844998185978,0.020100186196283426
3HAD121,0.11699837244990391,0.14624796556237848,0.029249593112474576,0.024285828632846132
3HAD140,0.09683379992744374,0.12104224990930353,0.02420844998185978,0.020100186196283426
3HAD141,0.11699837244990391,0.14624796556237848,0.029249593112474576,0.024285828632846132
3HAD160,0.09543349719928654,0.11929187149910701,0.023858374299820476,0.019809519656416072
3HAD161,0.11445516026954741,0.1430689503369329,0.028613790067385486,0.023757923723608895
3HAD180,0.0019566637108908696,0.0024458296386135636,0.000489165927722694,0.000406152654774349
3HAD181,0.11214656747697717,0.14018320934622014,0.02803664186924297,0.02327871971615683
3HAD40,0.21383217237734753,0.2672902154716823,0.05345804309433477,0.044386014829129544
3HAD60,0.21383217237734753,0.2672902154716823,0.05345804309433477,0.044386014829129544
3HAD80,0.21383217237734753,0.2672902154716823,0.05345804309433477,0.044386014829129544
3OAR100,0.21383217237734753,0.2672902154716823,0.05345804309433477,-1.7109869077103212e-10
3OAR120,0.09683379992744374,0.12104224990930353,0.02420844998185978,-1.7112711248046253e-10
3OAR140,0.09683379992744374,0.12104224990930353,0.02420844998185978,-1.7112711248046253e-10
3OAR160,0.09543349719928654,0.11929187149910701,0.023858374299820476,-1.7112711248046253e-10
3OAR180,0.0019566637108908696,0.0024458296386135636,0.000489165927722694,-1.7114132333517773e-10
3OAR40,0.21383217237734753,0.2672902154716823,0.05345804309433477,-1.7109869077103212e-10
3OAR60,0.21383217237734753,0.2672902154716823,0.05345804309433477,-1.709565822238801e-10
3OAR80,0.21383217237734753,0.2672902154716823,0.05345804309433477,-1.7134027530119056e-10
3OAS100,0.21383217237734753,0.2672902154716823,0.05345804309433477,0.2219300741455539
3OAS120,0.09683379992744374,0.12104224990930353,0.02420844998185978,0.10050093098137503
3OAS121,0.11699837244990391,0.14624796556237848,0.029249593112474576,0.12142914316417888
3OAS140,0.09683379992744374,0.12104224990930353,0.02420844998185978,0.10050093098137503
3OAS141,0.11699837244990391,0.14624796556237848,0.029249593112474576,0.12142914316417888
3OAS160,0.09543349719928654,0.11929187149910701,0.023858374299820476,0.09904759828203862
3OAS161,0.11445516026954741,0.1430689503369329,0.028613790067385486,0.11878961861799267
3OAS180,0.0019566637108908696,0.0024458296386135636,0.000489165927722694,0.0020307632738708085
3OAS181,0.11214656747697717,0.14018320934622014,0.02803664186924297,0.11639359858073263
3OAS60,0.21383217237734753,0.2672902154716823,0.05345804309433477,0.2219300741455539
3OAS80,0.21383217237734753,0.2672902154716823,0.05345804309433477,0.2219300741455539
AACPS1,0.0,29.841599999998927,29.841599999998927,12.475364736953779
AACPS2,0.0,29.841599999998927,29.841599999998927,5.027063665293852
AACPS3,0.0,29.841599999998927,29.841599999998927,5.027063665293852
AACPS4,0.0,29.841599999998927,29.841599999998927,5.027063665293852
AACPS5,0.0,0.0,0.0,0.0
AACPS6,0.0,29.841599999998927,29.841599999998927,12.44441993748432
AACPS7,0.0,29.841599999998927,29.841599999998927,5.027063665293852
AACPS8,0.0,29.841599999998927,29.841599999998927,0.09876896357129919
AACPS9,0.0,29.841599999998927,29.841599999998927,0.09876896357129919
ALAALAr,0.040951188017248175,1.2843511880172036,1.2433999999999554,0.28025978759724635
CDPDAG,0.0156723355192808,0.019590419399100816,0.003918083879820015,0.0
CLPN,8.797474388631296e-05,0.00010996842985789017,2.1993685971577207e-05,1.8261275856253035e-05
EAR100x,0.0,0.12104224990930382,0.12104224990930382,0.10050093098135199
EAR100y,0.0,0.12101770656129127,0.12101770656129127,0.10047761391643435
EAR120x,0.0,0.12104224990930353,0.12104224990930353,0.10050093098135204
EAR120y,0.0,0.121017706561291,0.121017706561291,0.10047761391643438
EAR121x,0.0,0.14624796556237848,0.14624796556237848,0.12142914316415084
EAR121y,0.0,0.14621213767835753,0.14621213767835753,0.12139510559069397
EAR140x,0.0,0.12104224990930353,0.12104224990930353,0.10050093098135204
EAR140y,0.0,0.121017706561291,0.121017706561291,0.10047761391643437
EAR141x,0.0,0.14624796556237848,0.14624796556237848,0.12142914316415084
EAR141y,0.0,0.14621213767835736,0.14621213767835736,0.12139510559069398
EAR160x,0.0,0.11929187149910689,0.11929187149910689,0.09904759828201576
EAR160y,0.0,0.11926803278596636,0.11926803278596636,0.099024950636038
EAR161x,0.0,0.14306895033693273,0.14306895033693273,0.11878961861796472
EAR161y,0.0,0.1430346629343005,0.1430346629343005,0.11875704452340535
EAR180x,0.0,0.002445829638613561,0.002445829638613561,0.0020307632738702976
EAR180y,0.0,0.0024458196155951782,0.0024458196155951782,0.0020307537513688206
EAR181x,0.0,0.14018320934621997,0.14018320934621997,0.11639359858070474
EAR181y,0.0,0.14015029100808737,0.14015029100808737,0.11636232511802667
EAR40x,0.0,0.267290215471682,0.267290215471682,0.22193007414550275
EAR40y,0.0,0.267170563580518,0.267170563580518,0.22181640455286294
EAR60x,0.0,0.267290215471682,0.267290215471682,0.22193007414550267
EAR60y,0.0,0.267170563580518,0.267170563580518,0.22181640455289794
EAR80x,0.0,0.267290215471682,0.267290215471682,0.22193007414553767
EAR80y,0.0,0.267170563580518,0.267170563580518,0.22181640455289797
FA100ACPHi,0.0,29.841599999998703,29.841599999998703,0.09876896357131851
FA120ACPHi,0.0,29.841599999998703,29.841599999998703,5.027063665294839
FA140ACPHi,0.0,29.841599999998703,29.841599999998703,5.027063665294838
FA141ACPHi,0.0,29.841599999998703,29.841599999998703,5.027063665294839
FA160ACPHi,0.0,29.841599999998703,29.841599999998703,5.02706366529484
FA161ACPHi,0.0,29.841599999998703,29.841599999998703,5.02706366529484
FA80ACPHi,0.0,29.841599999998703,29.841599999998703,0.09876896357131852
FACOAL100t2pp,0.0,0.0,0.0,0.0
FACOAL120t2pp,0.0,0.0,0.0,0.0
FACOAL140t2pp,0.0,0.0,0.0,0.0
FACOAL141t2pp,0.0,0.0,0.0,0.0
FACOAL160t2pp,0.0,0.0,0.0,0.0
FACOAL161t2pp,0.0,0.0,0.0,0.0
FACOAL180t2pp,0.0,0.0,0.0,0.0
FACOAL181t2pp,0.0,0.0,0.0,0.0
FACOAL60t2pp,0.0,0.0,0.0,0.0
FACOAL80t2pp,0.0,0.0,0.0,0.0
G1PACT,0.06621585415247558,0.9439099717994954,0.8776941176470199,1.178919385075949
GF6PTA,0.06621585415247558,29.907815854151178,29.841599999998703,4.977621748446869
GLUR,0.0,0.0,0.0,0.0
INPTH,0.0,0.0,0.0,0.0
MI1PP,0.0,0.0,0.0,0.0
PGAMT,0.0,0.0,0.0,-2.092104267603645e-12
PIM,0.0008169102578898335,0.001021137822362281,0.00020422756447244748,0.0001695693890102105
PIT,0.001344764102255108,0.001680955127818867,0.000336191025563759,0.00027913816111367075
T2DECAI,0.11699837244990391,0.14624796556237832,0.02924959311247441,0.0
TDPGDH,0.0,0.0,0.0,0.0
UAAGDS,0.022071951384158527,0.02758993923019786,0.005517987846039334,0.004581564834480956
UAGCVT,0.044143902768317055,0.05517987846039572,0.011035975692078669,0.04581564834480363
UAGDP,0.06621585415247558,29.907815854151178,29.841599999998703,5.555181595215454
UAGPT3,0.0,0.0,0.0,0.0
UAMAGS,0.022071951384158527,0.02758993923019786,0.005517987846039334,0.004581564834480956
UAMAS,0.022071951384158527,0.02758993923019786,0.005517987846039334,0.004581564834480956
UAMDH,0.044143902768317055,0.05517987846039572,0.011035975692078669,0.0458156483448037
UDCPDP,0.0,0.0,0.0,0.0
UDPGALM,0.0,0.0,0.0,0.0
UDPGD,0.0,1.2974608695651604,1.2974608695651604,2.1633750626896244
UGMDDS,0.0,0.0,0.0,0.0
3OAR121,0.11699837244990391,0.14624796556237832,0.02924959311247441,0.024285828632837222
3OAR141,0.11699837244990391,0.14624796556237835,0.029249593112474437,0.024285828632837222
3OAR161,0.11445516026954741,0.1430689503369327,0.028613790067385292,0.02375792372359993
3OAR181,0.11214656747697717,0.14018320934621992,0.028036641869242748,0.02327871971614784
G1PTT,0.0,0.0,0.0,-1.2427392448444152e-11
GALUi,0.040301508243846984,29.90397345962671,29.863671951382862,0.03346219281351637
