,fluxes,ec-code,kcat_MW,E,equ
ALAR,0.01771182261,5.1.1.1,12642.069812411692,1.4010223699770226e-06,ala__L_c --> ala__D_c
ALATA_L,0.09070913133499998,2.6.1.2,4068.1797733578296,2.2297227848446257e-05,glu__L_c + pyr_c --> akg_c + ala__L_c
ASNN,0.0,3.5.1.1,29220.536266438725,0.0,asn__L_c + h2o_c --> asp__L_c + nh4_c
ASNS1,0.0,6.3.5.4,101.34319659401726,0.0,asp__L_c + atp_c + gln__L_c + h2o_c --> amp_c + asn__L_c + glu__L_c + h_c + ppi_c
ASNS2,0.02122273868,6.3.1.1,,,asp__L_c + atp_c + nh4_c --> amp_c + asn__L_c + h_c + ppi_c
ASPT,0.0,4.3.1.1,8248.562350638917,0.0,asp__L_c --> fum_c + nh4_c
ASPTA,0.0,2.6.1.1,6144.05294482423,0.0,akg_c + asp__L_c --> glu__L_c + oaa_c
DAAD,0.0,1.4.99.1,20544.584645184143,0.0,ala__D_c + fad_c + h2o_c --> fadh2_c + nh4_c + pyr_c
VPAMT,0.0,2.6.1.66,,,3mob_c + ala__L_c --> pyr_c + val__L_c
2METS,0.0,2.3.3.5,773.3988874756253,0.0,h2o_c + oaa_c + ppcoa_c --> coa_c + hcat_c
ACHMSC,0.0083182222994,,,,achms_c + cys__L_c --> ac_c + cyst__L_c + h_c
ACNML,0.0,4.1.3.3,2723.076853404876,0.0,acnam_c --> acmana_c + pyr_c
ADNUC_num1,0.0,3.2.2.8,1092.4614552993942,0.0,adn_c + h2o_c --> ade_c + rib__D_c
AGDC,0.0,3.5.1.25,11703.93451076266,0.0,acgam6p_c + h2o_c --> ac_c + gam6p_c
ALCD19_num1,0.0,1.1.1.1,28280.194372479447,0.0,glyald_c + h_c + nadh_c --> glyc_c + nad_c
ALDD19x,0.0,1.2.1.39,2041.4740771196398,0.0,h2o_c + nad_c + pacald_c --> 2.0 h_c + nadh_c + pac_c
