,minimum,maximum,773differernce
ALAR,0.07970320174500001,10.690356313890089,10.610653112145089
ALATA_L,0.4081910910075,11.15375968307259,10.745568592065089
ASNN,0.0,122.03454788847816,122.03454788847816
ASNS1,0.0,61.06502510626909,61.06502510626909
ASNS2,0.0,122.13005021253818,122.13005021253818
ASPT,0.0,169.44045473291465,169.44045473291465
ASPTA,0.0,0.0,0.0
DAAD,0.0,0.0,0.0
VPAMT,0.0,5.520625771690613,5.520625771690613
2METS,0.0,0.0,0.0
ACHMSC,0.0,3.3465056127334405,3.3465056127334405
ACNML,0.0,0.0,0.0
ADNUC,0.0,61.01727394421719,61.01727394421719
AGDC,0.0,0.0,0.0
ALCD19,0.0,0.0,0.0
ALDD19x,0.0,0.0,0.0
ALDD2x,0.0,122.0345478884731,122.0345478884731
AMALT1,0.0,0.0,0.0
AMALT2,0.0,0.0,0.0
AMALT3,0.0,0.0,0.0
AMALT4,0.0,0.0,0.0
AMANAPEr,0.0,0.0,0.0
APG,0.013942859419439999,0.01394285941944,1.734723475976807e-18
ARAI,0.0,0.0,0.0
BETALDHx,0.0,0.0,0.0
BETALDHy,0.0,0.0,0.0
CBMKr,0.0,4.926830920116194,4.926830920116194
DHACOAH,0.0,0.0,0.0
DHAPT,0.0,0.0,0.0
DHPTDNRN,0.0,0.0,0.0
DRPA,0.0,0.0,0.0
FFSD,0.0,0.0,0.0
FRUK,0.0,0.0,0.0
G3PD2,0.0,0.0,0.0
G3PT,0.0,122.03454788847402,122.03454788847402
G6PDA,0.0,122.03454788847402,122.03454788847402
GLCATr,0.0,0.0,0.0
GLCRD,0.0,0.0,0.0
GLYCDx,0.0,0.0,0.0
GLYK,0.0,122.03463350099346,122.03463350099346
GNK,0.0,0.0,0.0
GUI1,0.0,0.0,0.0
HCO3E,0.0,124.98744974450044,124.98744974450044
HEX7,0.0,0.0,0.0
HPYRI,0.0,0.0,0.0
HSST_2,0.0,3.325219947165862,3.325219947165862
HXCT,0.0,0.0,0.0
MALGT,0.0,0.0,0.0
MALTATr,0.0,0.0,0.0
MAN1PG,0.0,0.0,0.0
MAN6PI,0.0,0.0,0.0
MCITL2,0.0,0.0,0.0
MM_COA_ADD5,0.0,0.0,0.0
MMM2,0.0,0.0,0.0
MSDH,0.0,0.0,0.0
PFK_2,0.0,0.0,0.0
PGLYCP,0.0,0.0,0.0
PGMT,0.0,0.0,0.0
PMANM,0.0,0.0,0.0
PPASUCC,0.0,0.0,0.0
RBK,0.0,61.08948808008438,61.08948808008438
SUCptsp,0.0,0.0,0.0
TRE6p,0.0,122.05602718223025,122.05602718223025
TRE6PP,0.007632038421,65.04551754897759,65.03788551055659
TRE6PS,0.007632038421,122.06365922065208,122.05602718223109
UACGAMPpp,0.0,122.03454788847608,122.03454788847608
