gene_id	normalized_counts
Cgl3099	1614.91
Cgl3098	633.35
Cgl3097	683.37
Cgl3096	213.18
Cgl3095	365.31
Cgl3094	232.43
Cgl3093	55.85
Cgl3092	982.04
Cgl3091	887.67
Cgl3090	848.02
Cgl3089	9.63
Cgl3088	45.42
Cgl3087	46.65
Cgl3086	116.8
Cgl3085	140.22
Cgl3084	250.76
Cgl3083	154.97
Cgl3082	68.54
Cgl3081	2525.72
Cgl3080	55.93
Cgl3079	543.66
Cgl3078	94.98
Cgl3077	32.33
Cgl3076	12.82
Cgl3075	5.26
Cgl3074	22.9
Cgl3073	1837.04
Cgl3072	5.76
Cgl3071	4.43
Cgl3070	584.39
Cgl3069	44.53
Cgl3068	13.6
Cgl3067	55.14
Cgl3066	54.64
Cgl3065	6.78
Cgl3064	3.97
Cgl3063	14.23
Cgl3062	29.06
Cgl3061	48.31
Cgl3060	89.05
Cgl3059	66.55
Cgl3058	58.94
Cgl3057	90.21
Cgl3056	80.19
Cgl3055	58.7
Cgl3053	70.64
Cgl3052	468.47
Cgl3051	11.3
Cgl3049	15.58
Cgl3048	14.73
Cgl3047	10.51
Cgl3046	496.07
Cgl3045	575.47
Cgl3044	133.58
Cgl3043	940.76
Cgl3042	124.27
Cgl3041	20.34
Cgl3040	87.67
Cgl3039	29.07
Cgl3038	63.36
Cgl3037	534.03
Cgl3036	351.69
Cgl3035	57.33
Cgl3034	63.13
Cgl3033	51.48
Cgl3032	92.85
Cgl3031	127.97
Cgl3030	9.4
Cgl3029	80.41
Cgl3028	171.92
Cgl3027	145.69
Cgl3026	1.85
Cgl3025	2.26
Cgl3024	10.4
Cgl3023	12.12
Cgl3022	104.64
Cgl3021	57.11
Cgl3020	75.17
Cgl3019	25.24
Cgl3018	215.65
Cgl3017	42.63
Cgl3016	46.36
Cgl3015	3386.52
Cgl3014	210.44
Cgl3013	75.03
Cgl3012	75.65
Cgl3011	59.24
Cgl3010	142.31
Cgl3009	73.22
Cgl3008	55.25
Cgl3007	109.89
Cgl3006	16.66
Cgl3004	107.14
Cgl3003	105.5
Cgl3002	57.06
Cgl3001	32.46
Cgl3000	78.41
Cgl2999	5005.88
Cgl2998	110.5
Cgl2997	221.68
Cgl2996	272.49
Cgl2995	16.77
Cgl2994	19.19
Cgl2993	21.9
Cgl2992	238.92
Cgl2991	460.8
Cgl2990	212.82
Cgl2989	185.65
Cgl2988	248.32
Cgl2987	114.89
Cgl2986	127.39
Cgl2985	57.75
Cgl2984	56.2
Cgl2983	2277.51
Cgl2982	3156.3
Cgl2981	2327.71
Cgl2980	176.77
Cgl2979	5819.13
Cgl2978	118.16
Cgl2977	244.88
Cgl2976	985.49
Cgl2974	4.39
Cgl2973	1.72
Cgl2972	16.28
Cgl2971	71.58
Cgl2970	3.91
Cgl2969	1.94
Cgl2968	6.72
Cgl2967	5.9
Cgl2966	17.93
Cgl2965	9.4
Cgl2964	6.12
Cgl2963	435.73
Cgl2962	600.86
Cgl2961	1385.16
Cgl2960	208.36
Cgl2959	194.19
Cgl2958	167.64
Cgl2955	201.08
Cgl2954	131.48
Cgl2953	64
Cgl2952	8.86
Cgl2951	0.19
Cgl2950	0.69
Cgl2949	426.14
Cgl2948	240.74
Cgl2947	63.04
Cgl2946	0.94
Cgl2945	10.98
Cgl2944	315.69
Cgl2943	867.85
Cgl2942	1038.04
Cgl2941	55.7
Cgl2940	114.77
Cgl2939	129.17
Cgl2938	56.55
Cgl2937	60.47
Cgl2936	21.46
Cgl2935	0.04
Cgl2934	17.54
Cgl2933	8.06
Cgl2932	310.43
Cgl2931	27.83
Cgl2930	21.34
Cgl2929	14.19
Cgl2928	19.25
Cgl2927	1916.25
Cgl2926	464.59
Cgl2925	3.54
Cgl2924	89.61
Cgl2923	72.27
Cgl2922	7.6
Cgl2921	6.87
Cgl2920	35.8
Cgl2919	49.9
Cgl2918	1712.01
Cgl2917	1102.68
Cgl2916	21.92
Cgl2915	64.58
Cgl2914	181.77
Cgl2913	50.24
Cgl2912	9.07
Cgl2911	1546.14
Cgl2910	130.5
Cgl2908	203.77
Cgl2907	43.87
Cgl2906	428.17
Cgl2905	96.05
Cgl2904	183.19
Cgl2903	185.16
Cgl2902	91.24
Cgl2901	16.25
Cgl2900	37.64
Cgl2899	46.69
Cgl2898	109.13
Cgl2897	46.76
Cgl2896	165.76
Cgl2895	188.49
Cgl2894	100.24
Cgl2893	303.81
Cgl2892	154.8
Cgl2891	27.19
Cgl2890	122.06
Cgl2889	129.2
Cgl2888	232.89
Cgl2887	93
Cgl2885	13.23
Cgl2884	9.82
Cgl2883	173.58
Cgl2882	132.84
Cgl2881	136.27
Cgl2880	103.04
Cgl2879	59.62
Cgl2878	2221.07
Cgl2876	1.42
Cgl2875	981.55
Cgl2874	708.21
Cgl2873	474.84
Cgl2872	928
Cgl2871	222.21
Cgl2870	523.23
Cgl2869	99.7
Cgl2868	60.8
Cgl2867	145.6
Cgl2866	230.11
Cgl2865	154.13
Cgl2864	17.96
Cgl2863	254.63
Cgl2862	28.07
Cgl2861	24.36
Cgl2860	36.61
Cgl2859	45.02
Cgl2858	13.93
Cgl2857	72.92
Cgl2856	19.21
Cgl2855	21.07
Cgl2854	406.8
Cgl2853	316.65
Cgl2852	5.61
Cgl2851	84.03
Cgl2850	1.96
Cgl2848	234.67
Cgl2847	120.33
Cgl2846	46.93
Cgl2844	516.89
Cgl2843	39.1
Cgl2842	6.92
Cgl2841	6.66
Cgl2840	61.61
Cgl2839	146.24
Cgl2838	232.28
Cgl2837	29.14
Cgl2836	34.93
Cgl2835	27.03
Cgl2834	123.26
Cgl2833	32.3
Cgl2832	20.76
Cgl2831	8.73
Cgl2830	179.17
Cgl2829	98.91
Cgl2828	15.88
Cgl2827	23.43
Cgl2826	28.51
Cgl2825	9.13
Cgl2824	5.5
Cgl2823	8.1
Cgl2822	1.11
Cgl2821	39.79
Cgl2820	34.86
Cgl2819	136.47
Cgl2818	5272.78
Cgl2817	4778.65
Cgl2816	4344.06
Cgl2815	3512.82
Cgl2814	3629
Cgl2813	4207.91
Cgl2812	3791.01
Cgl2811	45.66
Cgl2810	10.21
Cgl2809	11.57
Cgl2808	10.18
Cgl2807	55.14
Cgl2806	23.17
Cgl2805	19.54
Cgl2804	18.4
Cgl2803	14.63
Cgl2802	35.73
Cgl2801	100.55
Cgl2800	98.17
Cgl2799	107.78
Cgl2798	86.91
Cgl2797	67.86
Cgl2796	558.31
Cgl2795	53.11
Cgl2794	6.02
Cgl2793	196.42
Cgl2792	136.21
Cgl2791	70.99
Cgl2790	39.25
Cgl2789	28.82
Cgl2788	59.54
Cgl2787	10.07
Cgl2786	12.07
Cgl2785	113.16
Cgl2784	8.5
Cgl2783	16.76
Cgl2782	19.63
Cgl2781	8.04
Cgl2780	109.57
Cgl2779	108.96
Cgl2778	35.02
Cgl2777	67.76
Cgl2776	9.76
Cgl2775	28.03
Cgl2774	129.93
Cgl2773	250.09
Cgl2772	135.12
Cgl2771	356.49
Cgl2770	1276.6
Cgl2769	75.41
Cgl2768	71.77
Cgl2767	51.86
Cgl2766	304.95
Cgl2764	121.42
Cgl2763	85.11
Cgl2762	110.45
Cgl2761	10.2
Cgl2760	453.87
Cgl2759	137.06
Cgl2758	96.46
Cgl2757	54.31
Cgl2756	17.72
Cgl2755	367.7
Cgl2754	137.73
Cgl2753	507.94
Cgl2752	432.71
Cgl2751	130.42
Cgl2750	262.45
Cgl2749	327.62
Cgl2748	208.31
Cgl2747	241.92
Cgl2746	216.9
Cgl2745	169.66
Cgl2744	131.36
Cgl2743	36.06
Cgl2742	41.65
Cgl2741	130.71
Cgl2740	29.2
Cgl2739	63.69
Cgl2738	149.22
Cgl2737	399.54
Cgl2736	213.96
Cgl2735	119.32
Cgl2734	160.66
Cgl2733	212.29
Cgl2732	273.95
Cgl2731	216.02
Cgl2730	387.12
Cgl2729	219.18
Cgl2727	231.08
Cgl2726	187.09
Cgl2725	114.72
Cgl2724	84.13
Cgl2723	189.68
Cgl2722	155.04
Cgl2721	70.38
Cgl2720	45.05
Cgl2719	97.13
Cgl2718	89.47
Cgl2717	34.57
Cgl2716	89
Cgl2715	5966.8
Cgl2714	417.75
Cgl2713	33.01
Cgl2712	31.28
Cgl2711	67.1
Cgl2710	131.79
Cgl2709	104.47
Cgl2708	2.83
Cgl2707	4.56
Cgl2706	145.59
Cgl2705	87.79
Cgl2704	104.53
Cgl2703	64.84
Cgl2702	18.94
Cgl2700	298.84
Cgl2699	26.59
Cgl2698	8.05
Cgl2697	626.8
Cgl2696	404.75
Cgl2695	276.58
Cgl2694	190.45
Cgl2693	168.13
Cgl2692	179.51
Cgl2691	114.46
Cgl2690	404.13
Cgl2689	118.01
Cgl2688	87.29
Cgl2687	303.3
Cgl2686	5.44
Cgl2685	4.41
Cgl2684	62.16
Cgl2683	112.22
Cgl2682	75.86
Cgl2681	10.97
Cgl2680	38.77
Cgl2679	81
Cgl2678	265.63
Cgl2677	99.02
Cgl2676	61.09
Cgl2675	60.71
Cgl2674	1577.34
Cgl2673	204.11
Cgl2672	43.58
Cgl2671	23.26
Cgl2670	460.44
Cgl2668	40.16
Cgl2667	393.69
Cgl2666	79
Cgl2665	48.79
Cgl2664	494.12
Cgl2663	24.99
Cgl2662	26.96
Cgl2661	281.71
Cgl2660	245.46
Cgl2659	156
Cgl2658	37.31
Cgl2657	21.63
Cgl2656	4.43
Cgl2655	33.99
Cgl2654	28.63
Cgl2653	25.89
Cgl2652	43.48
Cgl2651	47.98
Cgl2650	19.83
Cgl2648	19.12
Cgl2647	43.53
Cgl2646	11.5
Cgl2645	47.56
Cgl2644	85.78
Cgl2643	356.01
Cgl2642	3780.89
Cgl2641	1544.32
Cgl2640	378.63
Cgl2639	52.14
Cgl2638	10.82
Cgl2637	4.43
Cgl2636	0.73
Cgl2635	0
Cgl2634	0.79
Cgl2633	1.42
Cgl2632	0.75
Cgl2630	12.59
Cgl2629	22.03
Cgl2628	9.65
Cgl2627	146.79
Cgl2626	265.85
Cgl2625	47.36
Cgl2624	101.12
Cgl2623	703.95
Cgl2622	69.68
Cgl2621	10.28
Cgl2620	63.34
Cgl2619	649.08
Cgl2618	15.57
Cgl2617	228.11
Cgl2616	18.31
Cgl2615	3.05
Cgl2614	28.08
Cgl2613	63.5
Cgl2612	29.43
Cgl2611	4.37
Cgl2610	250.12
Cgl2609	132.37
Cgl2608	61.29
Cgl2607	1879.06
Cgl2606	744.65
Cgl2605	7
Cgl2604	1.36
Cgl2603	3.76
Cgl2602	19.34
Cgl2601	297.83
Cgl2600	230.98
Cgl2599	349.92
Cgl2598	237.6
Cgl2597	413.57
Cgl2596	76.84
Cgl2595	44.38
Cgl2594	15.52
Cgl2592	8.05
Cgl2591	176.49
Cgl2590	511.93
Cgl2589	515.93
Cgl2588	271.97
Cgl2587	163.78
Cgl2586	154.71
Cgl2585	40.39
Cgl2584	463.89
Cgl2583	547.53
Cgl2582	2758.45
Cgl2581	593.3
Cgl2580	128.2
Cgl2579	281.83
Cgl2578	128.4
Cgl2577	46.8
Cgl2576	154.83
Cgl2575	56.69
Cgl2574	15.98
Cgl2573	15.98
Cgl2572	34.17
Cgl2571	216.64
Cgl2570	95.83
Cgl2569	2626.52
Cgl2568	33.17
Cgl2567	175.02
Cgl2566	78
Cgl2565	83.19
Cgl2564	1205.27
Cgl2563	796.92
Cgl2562	4044.69
Cgl2560	155.72
Cgl2559	494.3
Cgl2558	209.23
Cgl2557	79.02
Cgl2556	2.03
Cgl2555	1.93
Cgl2554	4.72
Cgl2553	144.26
Cgl2552	124.5
Cgl2551	94.96
Cgl2550	52.56
Cgl2548	12.95
Cgl2547	27.54
Cgl2546	119.67
Cgl2545	27.39
Cgl2544	49.27
Cgl2543	13.92
Cgl2542	22.18
Cgl2541	131.11
Cgl2540	704.66
Cgl2539	153.89
Cgl2538	96.37
Cgl2537	172.73
Cgl2536	395.66
Cgl2535	104.77
Cgl2534	222.74
Cgl2532	1115.99
Cgl2531	252.59
Cgl2530	226.87
Cgl2528	2.52
Cgl2527	200.88
Cgl2526	17670.13
Cgl2525	183.51
Cgl2523	1579.77
Cgl2522	272.03
Cgl2521	188.12
Cgl2520	113.54
Cgl2519	55.47
Cgl2518	72.52
Cgl2517	214.66
Cgl2516	144.01
Cgl2515	199.57
Cgl2514	170.48
Cgl2513	114.72
Cgl2512	180.6
Cgl2511	289.17
Cgl2510	50.63
Cgl2509	134.68
Cgl2508	87.11
Cgl2507	20.15
Cgl2505	131.46
Cgl2504	7.16
Cgl2503	11.53
Cgl2502	3.72
Cgl2501	297.77
Cgl2500	285.28
Cgl2499	172.65
Cgl2498	295.72
Cgl2497	302.76
Cgl2496	10.46
Cgl2495	149.95
Cgl2494	31.56
Cgl2493	21.84
Cgl2492	21.92
Cgl2491	59.2
Cgl2490	162.73
Cgl2489	464.13
Cgl2488	256.91
Cgl2487	194.87
Cgl2486	0.24
Cgl2485	33.75
Cgl2484	8.54
Cgl2482	80.24
Cgl2481	61.67
Cgl2480	9.15
Cgl2477	2.07
Cgl2476	41.22
Cgl2475	314.72
Cgl2474	31.32
Cgl2473	106.63
Cgl2472	129.39
Cgl2471	47.2
Cgl2470	35.96
Cgl2468	2.87
Cgl2467	11.55
Cgl2466	0.78
Cgl2464	3.41
Cgl2463	1908.66
Cgl2462	846.69
Cgl2461	5580.06
Cgl2460	1450.74
Cgl2459	880.47
Cgl2458	372.75
Cgl2457	3.66
Cgl2456	55.41
Cgl2455	13.27
Cgl2454	904.36
Cgl2453	27.13
Cgl2452	21.64
Cgl2451	187.2
Cgl2450	107.81
Cgl2449	19.63
Cgl2448	32.99
Cgl2447	62.17
Cgl2446	981.44
Cgl2445	418.42
Cgl2444	111.55
Cgl2443	217.17
Cgl2442	2.02
Cgl2441	104.7
Cgl2440	132.6
Cgl2439	707.44
Cgl2438	812.64
Cgl2437	810.7
Cgl2436	827.74
Cgl2435	817.29
Cgl2434	34.7
Cgl2433	21.11
Cgl2432	7.45
Cgl2431	7.32
Cgl2430	59.13
Cgl2429	34.09
Cgl2428	93.19
Cgl2427	15.85
Cgl2426	272.08
Cgl2425	662.85
Cgl2424	7.84
Cgl2423	212.3
Cgl2422	495.7
Cgl2420	1.87
Cgl2419	1.71
Cgl2418	933.04
Cgl2417	2.25
Cgl2416	9.27
Cgl2415	8.72
Cgl2414	640.76
Cgl2412	503.54
Cgl2411	626.56
Cgl2410	8.58
Cgl2409	4.66
Cgl2408	21.43
Cgl2407	7.35
Cgl2406	1.59
Cgl2405	4.56
Cgl2404	1.23
Cgl2402	50.17
Cgl2401	21.46
Cgl2400	34.73
Cgl2399	6.74
Cgl2398	3766.43
Cgl2397	4681.27
Cgl2396	2244.27
Cgl2395	1438.26
Cgl2394	44.22
Cgl2393	312.45
Cgl2392	192.34
Cgl2391	174.73
Cgl2390	985
Cgl2389	837.65
Cgl2388	56.47
Cgl2387	480.89
Cgl2386	80.46
Cgl2385	210.36
Cgl2384	386.58
Cgl2383	1.66
Cgl2382	50.94
Cgl2381	84.32
Cgl2380	498.51
Cgl2379	189.47
Cgl2378	235.58
Cgl2377	32.15
Cgl2376	270.51
Cgl2375	224.49
Cgl2374	493.74
Cgl2373	77.72
Cgl2372	110.99
Cgl2371	64.84
Cgl2370	910.97
Cgl2369	22.85
Cgl2368	41.28
Cgl2367	0.04
Cgl2366	48.3
Cgl2365	63.4
Cgl2364	98.47
Cgl2363	3619.28
Cgl2362	1491.36
Cgl2360	133.48
Cgl2359	437.63
Cgl2358	54.32
Cgl2357	286.61
Cgl2356	297.66
Cgl2355	270.62
Cgl2354	308.26
Cgl2353	57.39
Cgl2352	66.82
Cgl2351	292.26
Cgl2350	287.3
Cgl2349	133.93
Cgl2348	8.13
Cgl2347	7.39
Cgl2346	61.92
Cgl2345	299.36
Cgl2344	183.74
Cgl2343	1377.26
Cgl2342	495.62
Cgl2341	225.48
