gene_id	normalized_counts
Cgl3099	1604.35
Cgl3098	591.8
Cgl3097	656.89
Cgl3096	219.02
Cgl3095	357.77
Cgl3094	219.14
Cgl3093	54.2
Cgl3092	929.14
Cgl3091	905
Cgl3090	790.8
Cgl3089	7.03
Cgl3088	42.27
Cgl3087	49.82
Cgl3086	141.27
Cgl3085	134.15
Cgl3084	232.98
Cgl3083	152.59
Cgl3082	61.8
Cgl3081	2473.81
Cgl3080	57.29
Cgl3079	519.14
Cgl3078	91.83
Cgl3077	35.77
Cgl3076	13.49
Cgl3075	8.7
Cgl3074	21.05
Cgl3073	1676.83
Cgl3072	3.48
Cgl3071	9.83
Cgl3070	550.78
Cgl3069	42.12
Cgl3068	14.64
Cgl3067	59.34
Cgl3066	57.47
Cgl3065	7.79
Cgl3064	4.21
Cgl3063	14.36
Cgl3062	30.74
Cgl3061	39.24
Cgl3060	79.14
Cgl3059	61.74
Cgl3058	57.49
Cgl3057	94.16
Cgl3056	81.93
Cgl3055	57.72
Cgl3053	70.17
Cgl3052	422.78
Cgl3051	13.32
Cgl3049	18.17
Cgl3048	24.61
Cgl3047	18.2
Cgl3046	514.3
Cgl3045	571.56
Cgl3044	144.5
Cgl3043	973.08
Cgl3042	123.28
Cgl3041	24.53
Cgl3040	76.33
Cgl3039	27.08
Cgl3038	58.71
Cgl3037	566.65
Cgl3036	341.58
Cgl3035	69.25
Cgl3034	61.18
Cgl3033	50.1
Cgl3032	78.4
Cgl3031	143.86
Cgl3030	15.55
Cgl3029	72.65
Cgl3028	173.52
Cgl3027	137.34
Cgl3026	1.54
Cgl3025	1.37
Cgl3024	12.06
Cgl3023	13.95
Cgl3022	98.7
Cgl3021	64.1
Cgl3020	64.6
Cgl3019	26.68
Cgl3018	201.71
Cgl3017	45.66
Cgl3016	43.39
Cgl3015	3382.24
Cgl3014	178.13
Cgl3013	73.56
Cgl3012	93.14
Cgl3011	59.7
Cgl3010	132.41
Cgl3009	82.88
Cgl3008	55.09
Cgl3007	116.03
Cgl3006	16.49
Cgl3004	94.46
Cgl3003	100.41
Cgl3002	58
Cgl3001	35.55
Cgl3000	68.82
Cgl2999	5013.35
Cgl2998	96.45
Cgl2997	228.16
Cgl2996	295.19
Cgl2995	17.92
Cgl2994	15.01
Cgl2993	17.81
Cgl2992	247.71
Cgl2991	460.95
Cgl2990	204.12
Cgl2989	190.72
Cgl2988	220.4
Cgl2987	104.95
Cgl2986	118.49
Cgl2985	59.84
Cgl2984	49.94
Cgl2983	2407.64
Cgl2982	3089.5
Cgl2981	2334.52
Cgl2980	180.09
Cgl2979	5941.95
Cgl2978	116.25
Cgl2977	257.86
Cgl2976	1022.11
Cgl2974	5.7
Cgl2973	0
Cgl2972	14.15
Cgl2971	66.97
Cgl2970	1.86
Cgl2969	2.3
Cgl2968	8.81
Cgl2967	6.55
Cgl2966	16.21
Cgl2965	4.25
Cgl2964	5.71
Cgl2963	457.83
Cgl2962	617.45
Cgl2961	1336.58
Cgl2960	165.41
Cgl2959	230.04
Cgl2958	153.44
Cgl2955	210.71
Cgl2954	104.21
Cgl2953	55.24
Cgl2952	9.15
Cgl2951	1.02
Cgl2950	2.92
Cgl2949	407.04
Cgl2948	236.82
Cgl2947	59.13
Cgl2946	0
Cgl2945	15.16
Cgl2944	304.73
Cgl2943	807.88
Cgl2942	1035.84
Cgl2941	47.21
Cgl2940	111.43
Cgl2939	135.33
Cgl2938	50.8
Cgl2937	58.06
Cgl2936	14.91
Cgl2935	0.09
Cgl2934	14.44
Cgl2933	8.72
Cgl2932	295.45
Cgl2931	30.27
Cgl2930	26.77
Cgl2929	15.31
Cgl2928	16.4
Cgl2927	1912.86
Cgl2926	464.58
Cgl2925	1.02
Cgl2924	79.52
Cgl2923	64.28
Cgl2922	6.97
Cgl2921	9.9
Cgl2920	35.58
Cgl2919	48.3
Cgl2918	1690.95
Cgl2917	1083.16
Cgl2916	19.46
Cgl2915	80.54
Cgl2914	199.77
Cgl2913	39.6
Cgl2912	7.45
Cgl2911	1614.52
Cgl2910	133.81
Cgl2908	196.86
Cgl2907	43.17
Cgl2906	418.79
Cgl2905	100.95
Cgl2904	170.32
Cgl2903	181.99
Cgl2902	79.56
Cgl2901	18.76
Cgl2900	42.79
Cgl2899	45.09
Cgl2898	95.43
Cgl2897	38.2
Cgl2896	160.25
Cgl2895	174.53
Cgl2894	88.35
Cgl2893	300.92
Cgl2892	151.6
Cgl2891	36.14
Cgl2890	124.25
Cgl2889	118.11
Cgl2888	242.54
Cgl2887	83.1
Cgl2885	17.6
Cgl2884	5.05
Cgl2883	180.98
Cgl2882	127.72
Cgl2881	158.25
Cgl2880	89.92
Cgl2879	60.72
Cgl2878	2237.11
Cgl2876	1.58
Cgl2875	968.09
Cgl2874	698.13
Cgl2873	435.61
Cgl2872	891.04
Cgl2871	227.33
Cgl2870	501.42
Cgl2869	74.01
Cgl2868	50.1
Cgl2867	152.55
Cgl2866	247.43
Cgl2865	129.92
Cgl2864	23.53
Cgl2863	270.33
Cgl2862	34.13
Cgl2861	21.48
Cgl2860	46.51
Cgl2859	46.91
Cgl2858	19.19
Cgl2857	62.77
Cgl2856	13.83
Cgl2855	18.22
Cgl2854	381.83
Cgl2853	267.8
Cgl2852	7.45
Cgl2851	75.17
Cgl2850	3.28
Cgl2848	248.68
Cgl2847	126.04
Cgl2846	51.23
Cgl2844	521.4
Cgl2843	34.62
Cgl2842	4.68
Cgl2841	8.11
Cgl2840	61.58
Cgl2839	131.76
Cgl2838	216.93
Cgl2837	33.87
Cgl2836	37.33
Cgl2835	30.87
Cgl2834	119.09
Cgl2833	29.97
Cgl2832	22.95
Cgl2831	12.24
Cgl2830	162.54
Cgl2829	107.92
Cgl2828	13.22
Cgl2827	17.78
Cgl2826	25.51
Cgl2825	7.03
Cgl2824	6.58
Cgl2823	6.62
Cgl2822	4.45
Cgl2821	41.54
Cgl2820	45.55
Cgl2819	144.58
Cgl2818	5291.67
Cgl2817	4795.41
Cgl2816	4442.03
Cgl2815	3441.69
Cgl2814	3653.22
Cgl2813	4151.1
Cgl2812	3887.25
Cgl2811	66.53
Cgl2810	11.36
Cgl2809	3.74
Cgl2808	12.94
Cgl2807	50.94
Cgl2806	27.47
Cgl2805	23.21
Cgl2804	17.86
Cgl2803	13.21
Cgl2802	42.08
Cgl2801	99.19
Cgl2800	107.02
Cgl2799	118
Cgl2798	78.17
Cgl2797	70.72
Cgl2796	548.94
Cgl2795	58.47
Cgl2794	4.44
Cgl2793	195.25
Cgl2792	137.52
Cgl2791	65.92
Cgl2790	32.92
Cgl2789	32.7
Cgl2788	74.6
Cgl2787	11.18
Cgl2786	11.54
Cgl2785	115.8
