gene_id	normalized_counts
Cgl3099	957.06
Cgl3098	378.24
Cgl3097	705.71
Cgl3096	193.72
Cgl3095	456.19
Cgl3094	312.14
Cgl3093	64.91
Cgl3092	1359.17
Cgl3091	970.42
Cgl3090	879.79
Cgl3089	7.56
Cgl3088	58.14
Cgl3087	36.87
Cgl3086	80.39
Cgl3085	163.26
Cgl3084	322.48
Cgl3083	243.34
Cgl3082	96.48
Cgl3081	1483.14
Cgl3080	65.73
Cgl3079	615.95
Cgl3078	161.01
Cgl3077	44.26
Cgl3076	18.87
Cgl3075	5.42
Cgl3074	27.2
Cgl3073	1379.88
Cgl3072	3.09
Cgl3071	7.61
Cgl3070	1110.34
Cgl3069	56.55
Cgl3068	16.89
Cgl3067	154.67
Cgl3066	93.92
Cgl3065	11.01
Cgl3064	3.19
Cgl3063	16.68
Cgl3062	53.64
Cgl3061	47.61
Cgl3060	112.79
Cgl3059	107.47
Cgl3058	119.32
Cgl3057	152.73
Cgl3056	90.29
Cgl3055	62.31
Cgl3053	51.78
Cgl3052	355.13
Cgl3051	19.13
Cgl3049	7.08
Cgl3048	7.04
Cgl3047	12.52
Cgl3046	817.63
Cgl3045	973.62
Cgl3044	125.41
Cgl3043	1124.52
Cgl3042	123.46
Cgl3041	33.51
Cgl3040	79.38
Cgl3039	36.49
Cgl3038	46.57
Cgl3037	283.94
Cgl3036	280.47
Cgl3035	64.21
Cgl3034	80.64
Cgl3033	76.88
Cgl3032	96.76
Cgl3031	152.02
Cgl3030	0
Cgl3029	73.1
Cgl3028	181.18
Cgl3027	138.03
Cgl3026	1.37
Cgl3025	0.55
Cgl3024	12.28
Cgl3023	14.57
Cgl3022	164.98
Cgl3021	84.43
Cgl3020	75.43
Cgl3019	11
Cgl3018	245.92
Cgl3017	59.39
Cgl3016	74.63
Cgl3015	3156.38
Cgl3014	219.28
Cgl3013	68.91
Cgl3012	77.79
Cgl3011	69.41
Cgl3010	44.88
Cgl3009	78.78
Cgl3008	69.33
Cgl3007	114.33
Cgl3006	287.88
Cgl3004	73.82
Cgl3003	63.99
Cgl3002	82.46
Cgl3001	71.03
Cgl3000	48.48
Cgl2999	2873.2
Cgl2998	133.22
Cgl2997	267.62
Cgl2996	435.11
Cgl2995	15.59
Cgl2994	13.99
Cgl2993	16.92
Cgl2992	215.08
Cgl2991	284.5
Cgl2990	130.3
Cgl2989	118.3
Cgl2988	116.07
Cgl2987	83.21
Cgl2986	125.43
Cgl2985	57.72
Cgl2984	66.26
Cgl2983	1169.5
Cgl2982	2349.09
Cgl2981	1413.47
Cgl2980	235.47
Cgl2979	6138.35
Cgl2978	109
Cgl2977	128.42
Cgl2976	767.4
Cgl2974	10.15
Cgl2973	0.5
Cgl2972	14.35
Cgl2971	81.54
Cgl2970	2.17
Cgl2969	2.57
Cgl2968	34.1
Cgl2967	41.73
Cgl2966	100.31
Cgl2965	21.31
Cgl2964	13.42
Cgl2963	769.57
Cgl2962	1163
Cgl2961	1257.2
Cgl2960	170.56
Cgl2959	266.8
Cgl2958	224.56
Cgl2955	143.81
Cgl2954	107.54
Cgl2953	70.12
Cgl2952	8.99
Cgl2951	0.55
Cgl2950	0.36
Cgl2949	437.42
Cgl2948	297.82
Cgl2947	85.42
Cgl2946	0.23
Cgl2945	17.09
Cgl2944	309.71
Cgl2943	804.36
Cgl2942	1423.47
Cgl2941	56.78
Cgl2940	80.47
Cgl2939	126.5
Cgl2938	60.74
Cgl2937	68.26
Cgl2936	27.1
Cgl2935	76.11
Cgl2934	19.85
Cgl2933	9.94
Cgl2932	231.46
Cgl2931	17.62
Cgl2930	39.23
Cgl2929	8.37
Cgl2928	14.5
Cgl2927	1689.2
Cgl2926	433.63
Cgl2925	1.36
Cgl2924	138.04
Cgl2923	91.18
Cgl2922	9.82
Cgl2921	10.48
Cgl2920	62.53
Cgl2919	98.42
Cgl2918	3968.53
Cgl2917	2508.99
Cgl2916	21.91
Cgl2915	82.45
Cgl2914	171.9
Cgl2913	41.33
Cgl2912	6.81
Cgl2911	1471.65
Cgl2910	141.84
Cgl2908	381.63
Cgl2907	32.15
Cgl2906	409.33
Cgl2905	64.78
Cgl2904	130.79
Cgl2903	78.78
Cgl2902	98.12
Cgl2901	16.86
Cgl2900	35.47
Cgl2899	69.4
Cgl2898	127.31
Cgl2897	44.46
Cgl2896	127.16
Cgl2895	188.4
Cgl2894	87.48
Cgl2893	379.87
Cgl2892	223.55
Cgl2891	50.26
Cgl2890	149.72
Cgl2889	139.58
Cgl2888	283.2
Cgl2887	53.55
Cgl2885	13.83
Cgl2884	8.71
Cgl2883	325.5
Cgl2882	143.91
Cgl2881	112.87
Cgl2880	89.27
Cgl2879	81.89
Cgl2878	1043.83
Cgl2876	0.93
Cgl2875	541.25
Cgl2874	467.35
Cgl2873	338.77
Cgl2872	364.66
Cgl2871	123.77
Cgl2870	484.09
Cgl2869	403.76
Cgl2868	61.56
Cgl2867	187.05
Cgl2866	313.49
Cgl2865	152.01
Cgl2864	21.98
Cgl2863	231.34
Cgl2862	33.35
Cgl2861	24.96
Cgl2860	26
Cgl2859	28.83
Cgl2858	17.41
Cgl2857	47.64
Cgl2856	14.15
Cgl2855	19.16
Cgl2854	367.69
Cgl2853	244.75
Cgl2852	5.53
Cgl2851	94.52
Cgl2850	4.55
Cgl2848	207.03
Cgl2847	119.29
Cgl2846	85.06
Cgl2844	855.61
Cgl2843	41.05
Cgl2842	6.04
Cgl2841	8.88
Cgl2840	94.21
Cgl2839	158.78
Cgl2838	822.15
Cgl2837	42.35
Cgl2836	32.73
Cgl2835	23.87
Cgl2834	127.58
Cgl2833	28.17
Cgl2832	26.34
Cgl2831	12.21
Cgl2830	179.32
Cgl2829	125.24
Cgl2828	24.47
Cgl2827	10.19
Cgl2826	13.18
Cgl2825	5.71
Cgl2824	5.79
Cgl2823	9.71
Cgl2822	0.46
Cgl2821	27.86
Cgl2820	38.99
Cgl2819	147.59
Cgl2818	6489.71
Cgl2817	5990.89
Cgl2816	6019.93
Cgl2815	4515.85
Cgl2814	5054.93
Cgl2813	4845.51
Cgl2812	4381.9
Cgl2811	49.62
Cgl2810	15.03
Cgl2809	11.22
Cgl2808	9.58
Cgl2807	27.63
Cgl2806	19.57
Cgl2805	22.35
Cgl2804	20.78
Cgl2803	14.14
Cgl2802	33.32
Cgl2801	389.05
Cgl2800	146.45
Cgl2799	170.52
Cgl2798	106
Cgl2797	88.54
Cgl2796	510.4
Cgl2795	58.49
Cgl2794	7.38
Cgl2793	166.79
Cgl2792	147.07
Cgl2791	71.7
Cgl2790	36.54
Cgl2789	18.28
Cgl2788	43.11
Cgl2787	13.43
Cgl2786	10.22
Cgl2785	147.12
Cgl2784	10.08
Cgl2783	10.53
Cgl2782	29.34
Cgl2781	6.52
Cgl2780	123.66
Cgl2779	145.7
Cgl2778	46.71
Cgl2777	72.33
Cgl2776	4.97
Cgl2775	25.46
Cgl2774	108.77
Cgl2773	277.86
Cgl2772	139.75
Cgl2771	236.27
Cgl2770	941.09
Cgl2769	83.07
Cgl2768	72.13
Cgl2767	59.64
Cgl2766	260.88
Cgl2764	186.14
Cgl2763	83.84
Cgl2762	128.49
Cgl2761	14.72
Cgl2760	224.12
Cgl2759	188.09
Cgl2758	171.62
Cgl2757	90.93
Cgl2756	28.64
Cgl2755	277.42
Cgl2754	195.23
Cgl2753	309.95
Cgl2752	255.11
Cgl2751	145.28
Cgl2750	343.95
Cgl2749	424.49
Cgl2748	222.89
Cgl2747	257.58
Cgl2746	231.25
Cgl2745	192.13
Cgl2744	116.06
Cgl2743	39.53
Cgl2742	51.95
Cgl2741	130.63
Cgl2740	35.57
Cgl2739	55.81
Cgl2738	163.93
Cgl2737	421.77
Cgl2736	169.79
Cgl2735	91.51
Cgl2734	109
Cgl2733	133.26
Cgl2732	131.74
Cgl2731	109.15
Cgl2730	408.28
Cgl2729	295.38
Cgl2727	570.99
Cgl2726	177.5
Cgl2725	71.9
Cgl2724	82.29
Cgl2723	186.37
Cgl2722	77.21
Cgl2721	43.35
Cgl2720	58.44
Cgl2719	100.4
Cgl2718	81.38
Cgl2717	26.71
Cgl2716	168.91
Cgl2715	2875.24
Cgl2714	455.46
Cgl2713	33.08
Cgl2712	63.19
Cgl2711	113.53
Cgl2710	112.83
Cgl2709	83.56
Cgl2708	1.67
Cgl2707	0.68
Cgl2706	88.52
Cgl2705	54.46
Cgl2704	78.21
Cgl2703	48.23
Cgl2702	16.58
Cgl2700	259.19
Cgl2699	21.77
Cgl2698	7.14
Cgl2697	722.36
Cgl2696	477.82
Cgl2695	263.58
Cgl2694	198.8
Cgl2693	116.58
Cgl2692	86.67
Cgl2691	77.74
Cgl2690	437.08
Cgl2689	124.8
Cgl2688	65.18
Cgl2687	458.8
Cgl2686	11.69
Cgl2685	8.41
Cgl2684	62.17
Cgl2683	113.48
Cgl2682	67.25
Cgl2681	10.54
Cgl2680	40.66
Cgl2679	119.54
Cgl2678	338.55
Cgl2677	84.08
Cgl2676	80.39
Cgl2675	69.47
Cgl2674	996.62
Cgl2673	101.4
Cgl2672	39.46
Cgl2671	19.36
Cgl2670	279.19
Cgl2668	54.82
Cgl2667	624.5
Cgl2666	80.53
Cgl2665	53.17
Cgl2664	677.59
Cgl2663	27.05
Cgl2662	38.41
Cgl2661	304.5
Cgl2660	338.95
Cgl2659	196.68
Cgl2658	42.29
Cgl2657	25.42
Cgl2656	5.58
Cgl2655	15.72
Cgl2654	26.79
Cgl2653	25.42
Cgl2652	62.48
Cgl2651	57.12
Cgl2650	22.59
Cgl2648	22.23
Cgl2647	47.88
Cgl2646	11.81
Cgl2645	68.17
Cgl2644	91.55
Cgl2643	363.41
Cgl2642	2975.05
Cgl2641	1318.08
Cgl2640	414.68
Cgl2639	62.1
Cgl2638	3.11
Cgl2637	3.91
Cgl2636	1
Cgl2635	0.36
Cgl2634	0.46
Cgl2633	0.99
Cgl2632	0
Cgl2630	11.54
Cgl2629	29.73
Cgl2628	9.05
Cgl2627	88.09
Cgl2626	199.06
Cgl2625	26.86
Cgl2624	96.37
Cgl2623	711.79
Cgl2622	71.52
Cgl2621	9.4
Cgl2620	50.59
Cgl2619	462.31
Cgl2618	17.24
