gene_id	normalized_counts
Cgl3099	908.63
Cgl3098	392.19
Cgl3097	745.32
Cgl3096	179.54
Cgl3095	419.92
Cgl3094	325.96
Cgl3093	66.06
Cgl3092	1277.74
Cgl3091	917.47
Cgl3090	799.07
Cgl3089	16.79
Cgl3088	57.1
Cgl3087	44.77
Cgl3086	95.2
Cgl3085	151.36
Cgl3084	305.23
Cgl3083	225.86
Cgl3082	90.09
Cgl3081	1539.12
Cgl3080	60.81
Cgl3079	642.7
Cgl3078	157.68
Cgl3077	46.08
Cgl3076	27.38
Cgl3075	9.48
Cgl3074	37.61
Cgl3073	1447.4
Cgl3072	6.43
Cgl3071	11.63
Cgl3070	1167.13
Cgl3069	57.87
Cgl3068	18.52
Cgl3067	166.53
Cgl3066	95.18
Cgl3065	14.23
Cgl3064	7.02
Cgl3063	25.97
Cgl3062	61.97
Cgl3061	46.85
Cgl3060	110.51
Cgl3059	115.47
Cgl3058	124.67
Cgl3057	140.63
Cgl3056	90.28
Cgl3055	57.44
Cgl3053	58.44
Cgl3052	291.43
Cgl3051	18.7
Cgl3049	6.04
Cgl3048	26.51
Cgl3047	8.17
Cgl3046	846.69
Cgl3045	939.32
Cgl3044	126.18
Cgl3043	1131.6
Cgl3042	122.11
Cgl3041	39.92
Cgl3040	84.07
Cgl3039	37.47
Cgl3038	54.94
Cgl3037	278.94
Cgl3036	271.43
Cgl3035	66.64
Cgl3034	79.92
Cgl3033	79.73
Cgl3032	80.11
Cgl3031	139.84
Cgl3030	45.05
Cgl3029	74.01
Cgl3028	187.91
Cgl3027	148.92
Cgl3026	2.96
Cgl3025	5.2
Cgl3024	17.1
Cgl3023	21.2
Cgl3022	147.65
Cgl3021	63.18
Cgl3020	62.34
Cgl3019	15.04
Cgl3018	265.96
Cgl3017	83.15
Cgl3016	74.43
Cgl3015	3108.52
Cgl3014	211.1
Cgl3013	68.47
Cgl3012	73.75
Cgl3011	71.03
Cgl3010	49.6
Cgl3009	90.36
Cgl3008	63.52
Cgl3007	116.39
Cgl3006	309.23
Cgl3004	73.07
Cgl3003	73.83
Cgl3002	80.19
Cgl3001	71.45
Cgl3000	44.54
Cgl2999	3030.93
Cgl2998	140.93
Cgl2997	263.29
Cgl2996	432.59
Cgl2995	21.6
Cgl2994	16.92
Cgl2993	16.82
Cgl2992	196.13
Cgl2991	259.85
Cgl2990	133.89
Cgl2989	135.04
Cgl2988	112.39
Cgl2987	69.45
Cgl2986	114.21
Cgl2985	58.95
Cgl2984	65.66
Cgl2983	1114.27
Cgl2982	2422.37
Cgl2981	1509.86
Cgl2980	223.55
Cgl2979	5509.41
Cgl2978	95.25
Cgl2977	121.22
Cgl2976	758.46
Cgl2974	13.78
Cgl2973	3.51
Cgl2972	24.54
Cgl2971	87.53
Cgl2970	5.13
Cgl2969	3.35
Cgl2968	34.4
Cgl2967	46.01
Cgl2966	107.48
Cgl2965	27.04
Cgl2964	16.4
Cgl2963	730.98
Cgl2962	1245.38
Cgl2961	1508.3
Cgl2960	178.83
Cgl2959	256.35
Cgl2958	232.85
Cgl2955	136.44
Cgl2954	105.61
Cgl2953	75.13
Cgl2952	10.25
Cgl2951	1.35
Cgl2950	6.09
Cgl2949	416.09
Cgl2948	325.06
Cgl2947	88.02
Cgl2946	1.62
Cgl2945	23.74
Cgl2944	338.57
Cgl2943	828.24
Cgl2942	1150.78
Cgl2941	67.71
Cgl2940	82.41
Cgl2939	123.71
Cgl2938	103.88
Cgl2937	66.29
Cgl2936	29.37
Cgl2935	81.52
Cgl2934	24
Cgl2933	14.13
Cgl2932	200.17
Cgl2931	23.1
Cgl2930	47.93
Cgl2929	24.11
Cgl2928	20.94
Cgl2927	1700.82
Cgl2926	411.14
Cgl2925	3.48
Cgl2924	109.81
Cgl2923	94.38
Cgl2922	13.34
Cgl2921	30.73
Cgl2920	82.09
Cgl2919	83.66
Cgl2918	4011.62
Cgl2917	2452.16
Cgl2916	20.4
Cgl2915	77.33
Cgl2914	166.97
Cgl2913	51.43
Cgl2912	12.45
Cgl2911	1507.56
Cgl2910	150.42
Cgl2908	355.51
Cgl2907	43.92
Cgl2906	412.42
Cgl2905	78.6
Cgl2904	155.37
Cgl2903	91.9
Cgl2902	99.95
Cgl2901	18.64
