Entry	Entry name	Protein names	Gene names	Organism	EC number	Mass	Cross-reference (PDB)	Gene ID
Q8NPB4	Q8NPB4_CORGL	Uncharacterized protein	Cgl1900	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		22,181		Cgl1900
Q8NQ82	Q8NQ82_CORGL	Sialidase domain-containing protein	Cgl1556	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		41,706		Cgl1556
Q8NQ90	Q8NQ90_CORGL	HIRAN domain-containing protein	Cgl1548	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		50,851		Cgl1548
Q8NU71	Q8NU71_CORGL	Histidine kinase (EC 2.7.13.3)	Cgl0068	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	2.7.13.3	58,608		Cgl0068
Q8NR40	GLGB_CORGL	1,4-alpha-glucan branching enzyme GlgB (EC 2.4.1.18) (1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-glucosyl-transferase) (Alpha-(1->4)-glucan branching enzyme) (Glycogen branching enzyme) (BE)	glgB Cgl1224 cg1381	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	2.4.1.18	82,593		Cgl1224
Q8NLC4	SYL_CORGL	Leucine--tRNA ligase (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)	leuS Cgl3018 cg3346	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	6.1.1.4	106,779		Cgl3018
Q79VD1	Q79VD1_CORGL	Threonine export carrier	Cgl2622	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		51,698		Cgl2622
Q8NS96	Q8NS96_CORGL	Endopeptidase La (EC 3.4.21.53)	Cgl0783	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	3.4.21.53	36,482		Cgl0783
Q8NS42	Q8NS42_CORGL	Uncharacterized protein	Cgl0840	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		15,965		Cgl0840
Q8NLV4	Q8NLV4_CORGL	ABC-type transporter, permease components	Cgl2832	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		23,101		Cgl2832
Q8NRJ2	Q8NRJ2_CORGL	VWFA domain-containing protein	Cgl1056	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		72,066		Cgl1056
P0C1D6	CSP1_CORGL	Protein PS1	csp1 cop1 Cgl2875 cg3182	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		70,674	6SWZ;6SX4;	Cgl2875
Q8NMX0	Q8NMX0_CORGL	Uncharacterized membrane-associated protein	Cgl2443	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		27,133		Cgl2443
Q8NS11	RL32_CORGL	50S ribosomal protein L32	rpmF Cgl0873 cg0995	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		6,620		Cgl0873
Q8NSA7	Q8NSA7_CORGL	Uncharacterized protein	Cgl0772	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		7,957		Cgl0772
Q8NT83	Q8NT83_CORGL	ABC-type transporter, permease components	Cgl0427	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		58,105		Cgl0427
Q8NPN4	Q8NPN4_CORGL	Stress-sensitive restriction system protein 1 or type II resctriction endonuclease	Cgl1777	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		39,769		Cgl1777
Q8NPX8	Q8NPX8_CORGL	Uncharacterized protein	Cgl1683	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		17,850		Cgl1683
Q8NT54	Q8NT54_CORGL	Amidohydro-rel domain-containing protein	Cgl0456	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		27,126		Cgl0456
Q8NN14	Q8NN14_CORGL	HNHc domain-containing protein	Cgl2399	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		43,083		Cgl2399
Q8NU82	Q8NU82_CORGL	Uncharacterized protein	Cgl0057	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		31,332		Cgl0057
Q8NNL9	Q8NNL9_CORGL	Rv2175c_C domain-containing protein	Cgl2174	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		13,698		Cgl2174
Q8NNN0	MURE_CORGL	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)	murE Cgl2163 cg2374	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	6.3.2.13	53,862		Cgl2163
Q8NT59	Q8NT59_CORGL	Predicted membrane protein	Cgl0451	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		13,980		Cgl0451
Q8NRT2	Q8NRT2_CORGL	Uncharacterized protein	Cgl0960	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		18,163		Cgl0960
Q8NS31	G6PI_CORGL	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)	pgi Cgl0851 cg0973	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	5.3.1.9	59,166		Cgl0851
Q8NR02	Q8NR02_CORGL	DUF1524 domain-containing protein	Cgl1265	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		27,810		Cgl1265
Q8NLK0	Q8NLK0_CORGL	Hypothetical membrane protein	Cgl2942	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		9,083		Cgl2942
Q8NRW8	Q8NRW8_CORGL	Transcriptional regulator	Cgl0923	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		21,460		Cgl0923
Q8NSL1	PRPC2_CORGL	2-methylcitrate synthase 2 (2-MCS) (MCS) (EC 2.3.3.5) (Citrate synthase 2) (CS) (EC 2.3.3.16)	prpC2 Cgl0659 cg0762	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	2.3.3.5; 2.3.3.16	42,595		Cgl0659
Q8NNG3	Q8NNG3_CORGL	SURF1-like protein	Cgl2241	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		35,639		Cgl2241
Q8NL57	Q8NL57_CORGL	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)	Cgl3092	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	3.5.1.28	45,790		Cgl3092
Q8NM62	Q8NM62_CORGL	DO-GTPase2 domain-containing protein	Cgl2718	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		45,046		Cgl2718
Q8NRN3	Q8NRN3_CORGL	Coenzyme F420-dependent N5,N10-methylene tetrahydromethanopterin reductase and related flavin-dependent oxidoreductases	Cgl1015	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		53,467		Cgl1015
