gene_start	gene_stop	gene_id	normalized_counts
1	1575	Cgl0001	2215.137668
1920	1594	Cgl0002	31.96446851
2292	3476	Cgl0003	3201.774263
3585	4769	Cgl0004	1136.869597
4766	5302	Cgl0005	253.5847835
5354	7489	Cgl0006	15452.68956
7830	8798	Cgl0007	582.8188092
9466	8795	Cgl0008	789.5223723
9914	9471	Cgl0009	3408.477826
11177	10104	Cgl0010	489.0563683
11523	11260	Cgl0011	31.96446851
11768	11520	Cgl0012	25.57157481
11831	14401	Cgl0013	12113.46808
14405	14749	Cgl0014	2301.441733
16243	15206	Cgl0015	93.76244098
16314	17210	Cgl0016	303.6624509
17251	17673	Cgl0017	165.149754
18729	17857	Cgl0018	301.5314863
19497	18733	Cgl0019	399.5558564
19705	20076	Cgl0020	132.1198032
20073	21068	Cgl0021	169.4116831
21597	22127	Cgl0022	54.33959647
22164	23402	Cgl0023	51.14314962
24295	24732	Cgl0024	69.25634845
26297	24882	Cgl0025	535.9375888
28099	26819	Cgl0026	51.14314962
29117	28161	Cgl0027	8.52385827
29965	29114	Cgl0028	4.261929135
29995	30654	Cgl0029	22.37512796
30697	31680	Cgl0030	4644.437275
31677	32702	Cgl0031	2931.141763
32699	33460	Cgl0032	1939.177757
34280	33462	Cgl0033	6859.574943
34339	34902	Cgl0034	19449.31361
34982	35671	Cgl0035	368.6568702
37221	38201	Cgl0036	40.48832678
37242	36244	Cgl0037	14.91675197
38202	38981	Cgl0038	12.78578741
38978	39802	Cgl0039	43.68477364
40458	40186	Cgl0040	1222.10818
42513	40573	Cgl0041	2363.239705
43919	42510	Cgl0042	2341.93006
45347	43923	Cgl0043	3609.853978
46489	45344	Cgl0044	2750.009775
48021	46666	Cgl0045	3983.838259
48485	48021	Cgl0046	3110.142786
49368	48502	Cgl0047	5648.121586
50616	49894	Cgl0048	194.9832579
51436	50963	Cgl0049	838.5345574
53055	54011	Cgl0050	111.8756398
53095	51623	Cgl0051	1441.59753
54080	55549	Cgl0052	53.27411419
56417	55626	Cgl0053	73.51827758
56676	56383	Cgl0054	62.86345474
57270	56677	Cgl0055	46.88122049
57478	57654	Cgl0056	189.6558465
58087	58944	Cgl0057	169.4116831
59091	59933	Cgl0058	42.61929135
59952	60665	Cgl0059	30.89898623
60669	62324	Cgl0060	42.61929135
63508	62387	Cgl0061	937.6244098
64040	63591	Cgl0062	1102.774164
64190	65461	Cgl0063	1178.423406
66197	65505	Cgl0064	257.8467127
66851	67975	Cgl0065	88.43502956
68634	68248	Cgl0066	143.8401083
70186	68717	Cgl0067	225.8822442
70506	72161	Cgl0068	453.8954529
72161	72817	Cgl0069	300.466004
73728	72814	Cgl0070	523.1518014
73844	74275	Cgl0071	2112.851369
74490	75494	Cgl0072	788.45689
75506	75745	Cgl0073	58.60152561
75697	76038	Cgl0074	66.0599016
83568	82117	Cgl0075	36.22639765
84935	83688	Cgl0076	429.3893604
85403	85095	Cgl0077	393.1629627
86277	85660	Cgl0078	4636.978899
86318	87244	Cgl0079	172.60813
88532	87558	Cgl0080	626.5035829
