NCgl_ID,Cgl_ID,ID,Name,Synonyms,Protein,Strains,Function,Length
NCgl0001,Cgl0001,cg0001,dnaA,,Chromosomal replication initiator protein DnaA,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),Plays an important role in the initiation and regulation of chromosomal replication. Binds to the origin of replication; it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box): 5'-TTATC[CA]A[CA]A-3'. DnaA binds to ATP and to acidic phospholipids.,524
NCgl0003,Cgl0004,cg0005,recF,,DNA replication and repair protein RecF,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),The RecF protein is involved in DNA metabolism; it is required for DNA replication and normal SOS inducibility. RecF binds preferentially to single-stranded,
NCgl0004,Cgl0005,cg0006,,,UPF0232 protein,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,178
NCgl0005,Cgl0006,cg0007,gyrB,,DNA gyrase subunit B,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation,
NCgl0012,Cgl0013,cg0015,gyrA,,DNA gyrase subunit A,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation,
NCgl0014,Cgl0015,cg0018,,,UPF0324 membrane protein,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,345
NCgl0026,Cgl0027,cg0041,,,ABC-type transporter,,,
NCgl0027,Cgl0028,cg0042,,,ABC-type transporter,,,
NCgl0028,Cgl0029,cg0043,,,ABC-type transporter,,,
NCgl0030,Cgl0031,cg0045,,,ABC-type transporter,,,
NCgl0031,Cgl0032,cg0046,,,ABC-type transporter,,,
NCgl0036,Cgl0036,cg0052,,,ABC-type transporter,,,
NCgl0037,Cgl0038,cg0053,,,ABC-type transporter,,,
NCgl0038,Cgl0039,cg0054,,,Siderophore-interacting protein,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,274
NCgl0039,Cgl0040,cg0055,crgA,,Cell division protein,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),Involved in cell division,90
NCgl0040,Cgl0041,cg0057,pknB,,Probable serine/threonine-protein kinase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,646
NCgl0041,Cgl0042,cg0059,pknA,drp72,Serine/threonine-protein kinases,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,469
NCgl0049,Cgl0051,cg0067,gabD3,,NAD-dependent aldehyde dehydrogenases,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,490
NCgl0051,Cgl0052,cg0071,,,Zn-dependent hydrolases,,,
NCgl0053,Cgl0054,cg0073,,,Rhodanese-related sulfurtransferases,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,97
NCgl0054,Cgl0055,cg0074,,,Rhodanese-related sulfurtransferases,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,197
NCgl0060,Cgl0061,cg0080,,,Mg2+ and Co2+ transporters,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,373
