Entry	Entry name	Protein names	Gene names	Organism	EC number	Mass	Cross-reference (PDB)	Gene ID
Q8NTN0	Q8NTN0_CORGL	Predicted phosphohydrolases (EC 3.1.-.-)	Cgl0276	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	3.1.-.-	33,450		Cgl0276
Q8NT75	DCUP_CORGL	Uroporphyrinogen decarboxylase (UPD) (URO-D) (EC 4.1.1.37)	hemE Cgl0435 cg0516	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	4.1.1.37	38,413		Cgl0435
Q8NU71	Q8NU71_CORGL	Histidine kinase (EC 2.7.13.3)	Cgl0068	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	2.7.13.3	58,608		Cgl0068
Q6M2E8	TILS_CORGL	tRNA(Ile)-lysidine synthase (EC 6.3.4.19) (tRNA(Ile)-2-lysyl-cytidine synthase) (tRNA(Ile)-lysidine synthetase)	tilS Cgl2698 cg2986	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	6.3.4.19	33,957		Cgl2698
Q8NR40	GLGB_CORGL	1,4-alpha-glucan branching enzyme GlgB (EC 2.4.1.18) (1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-glucosyl-transferase) (Alpha-(1->4)-glucan branching enzyme) (Glycogen branching enzyme) (BE)	glgB Cgl1224 cg1381	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	2.4.1.18	82,593		Cgl1224
Q8NQ65	Q8NQ65_CORGL	Transketolase (EC 2.2.1.1)	Cgl1574	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	2.2.1.1	72,406		Cgl1574
Q8NLC4	SYL_CORGL	Leucine--tRNA ligase (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)	leuS Cgl3018 cg3346	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	6.1.1.4	106,779		Cgl3018
P58998	UPP_CORGL	Uracil phosphoribosyltransferase (EC 2.4.2.9) (UMP pyrophosphorylase) (UPRTase)	upp Cgl0684 cg0786	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	2.4.2.9	22,523		Cgl0684
Q8NNK1	Q8NNK1_CORGL	Asparagine synthase (Glutamine-hydrolyzing) or lysozyme insensitivity protein LtsA	Cgl2196	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)		72,389		Cgl2196
Q8NTF4	MURB1_CORGL	UDP-N-acetylenolpyruvoylglucosamine reductase 1 (EC 1.3.1.98) (UDP-N-acetylmuramate dehydrogenase 1)	murB1 murB Cgl0353 cg0423	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	1.3.1.98	36,371		Cgl0353
Q8NTE7	Q8NTE7_CORGL	UDP-glucose 6-dehydrogenase (EC 1.1.1.22)	Cgl0360	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	1.1.1.22	42,941		Cgl0360
